edad,ciudad,estrato_socioeconomico,nivel_educacion,estado_civil,personas_a_cargo,tipo_empleo,antiguedad_empleo,salario_mensual,egresos_mensuales,numero_demandas,puntaje_datacredito,numero_propiedades,patrimonio_total,saldo_promedio_banco,valor_inmueble,anos_inmueble,porcentaje_cuota_inicial,valor_cuota_inicial,monto_credito,ltv,plazo_credito,tasa_interes_anual,cuota_mensual,dti,capacidad_ahorro,capacidad_residual,ratio_cuota_ingreso,ratio_patrimonio_deuda,meses_colchon,ratio_cuota_ahorro,ratio_egreso_salario,score_edad,flag_sobreendeudamiento,score_estabilidad_laboral,riesgo_legal,educacion_x_salario,edad_x_antiguedad,ltv_x_puntaje,grupo_edad,rango_salarial,categoria_puntaje,nivel_ltv,nivel_dti,puntaje_riesgo,nivel_riesgo,rechazo_automatico
42,Bogotá,4,Bachiller,Casado,0,Informal,1.5,3772000,2377000,0,786,1,258800000,24300000,119000000,9,16,19040000.0,99960000.0,84.0,19,10.28,999200,26.49,1395000,395800,26.49,2.5890356142456983,24.319455564451562,0.7162724014336918,63.016967126193,40,0,15.0,0.0,3.772,63.0,95.76,Adulto,Medio-Bajo,Bueno,Alto,Aceptable,64.2,Medio,False
36,Bogotá,2,Profesional,Soltero,1,Formal,8.5,3741000,2806000,0,845,0,41500000,10420000,80000000,35,12,9600000.0,70400000.0,88.0,24,9.33,613300,16.39,935000,321700,16.39,0.5894886363636364,16.990053807272133,0.6559358288770053,75.00668270515905,40,0,110.0,0.0,11.223,306.0,48.4,Adulto Joven,Medio-Bajo,Muy Bueno,Alto,Excelente,85.75,Bajo,False
44,Bogotá,3,Bachiller,Casado,2,Formal,18.5,3731000,2615000,0,825,0,116600000,12880000,114000000,14,15,17100000.0,96900000.0,85.0,15,9.2,994400,26.65,1116000,121600,26.65,1.2033023735810113,12.952534191472244,0.8910394265232975,70.08844813722862,40,0,125.0,0.0,3.731,814.0,63.75,Adulto,Medio-Bajo,Muy Bueno,Alto,Aceptable,78.0,Bajo,False
53,Bogotá,3,Técnico,Unión Libre,2,Formal,33.5,5263000,3410000,0,850,0,259100000,27920000,146000000,3,24,35040000.0,110960000.0,76.0,10,8.5,1375700,26.14,1853000,477300,26.14,2.3350757029560203,20.29512248309951,0.7424177010253643,64.79194375831275,40,0,125.0,0.0,10.526,1775.5,38.0,Adulto,Medio,Muy Bueno,Medio,Aceptable,87.0,Bajo,False
35,Cali,2,Profesional,Unión Libre,2,Informal,2.0,3418000,2512800,2,650,0,50400000,6980000,80000000,49,10,8000000.0,72000000.0,90.0,19,13.04,855200,25.02,905200,50000,25.02,0.7,8.161833489242282,1.0014051522248244,73.51667641895845,40,0,20.0,98.16843611112658,10.254000000000001,70.0,225.0,Adulto Joven,Bajo,Regular,Alto,Aceptable,31.6,Alto,False
35,Bogotá,2,Bachiller,Casado,1,Informal,12.5,2873000,1892600,0,800,0,33700000,10460000,94000000,26,10,9400000.0,84600000.0,90.0,17,11.22,930400,32.38,980400,50000,32.38,0.3983451536643026,11.242476354256233,1.2958217270194987,65.87539157674904,40,0,100.0,0.0,2.873,437.5,90.0,Adulto Joven,Bajo,Bueno,Alto,Límite,53.0,Medio,False
53,Bogotá,3,Bachiller,Divorciado,1,Formal,5.0,2581000,1824000,0,806,1,174300000,5230000,79000000,7,16,12640000.0,66360000.0,84.0,12,8.82,748500,29.0,757000,8500,29.0,2.6265822784810124,6.987307949231797,0.9887714663143989,70.67028283611003,40,0,75.0,0.0,2.581,265.0,78.96,Adulto,Bajo,Muy Bueno,Alto,Aceptable,65.5,Bajo,False
45,Cartagena,4,Técnico,Casado,2,Informal,6.5,3384000,2368000,0,826,1,181200000,11190000,85000000,31,16,13600000.0,71400000.0,84.0,17,9.64,713000,21.07,1016000,303000,21.07,2.53781512605042,15.694249649368864,0.7017716535433071,69.97635933806147,40,0,65.0,0.0,6.768,292.5,62.16,Adulto,Bajo,Muy Bueno,Alto,Bueno,78.2,Bajo,False
33,Bogotá,2,Técnico,Soltero,1,Independiente,3.0,2215000,1389800,0,754,0,28100000,8000000,92000000,35,10,9200000.0,79839179.1044776,86.78171641791043,23,10.63,775200,35.0,825200,50000,35.0,0.3519575265575855,10.319917440660475,1.39927797833935,62.74492099322799,40,0,40.0,0.0,4.43,99.0,126.70130597014922,Adulto Joven,Bajo,Bueno,Alto,Límite,46.6,Medio,False
43,Cartagena,1,Bachiller,Casado,1,Informal,7.5,2058000,1544000,2,650,0,48300000,3320000,41000000,28,15,6150000.0,34850000.0,85.0,18,12.44,404900,19.67,514000,109100,19.67,1.3859397417503587,8.199555445789084,0.7877431906614786,75.0242954324587,40,0,75.0,98.16843611112658,2.058,322.5,212.5,Adulto,Bajo,Regular,Alto,Excelente,54.0,Medio,False
33,Cartagena,2,Bachiller,Unión Libre,2,Informal,2.5,1449000,922400,2,647,0,21900000,2760000,44000000,15,10,4400000.0,39600000.0,90.0,17,12.78,476600,32.89,526600,50000,32.89,0.553030303030303,5.791019723038187,1.316574585635359,63.65769496204279,40,0,25.0,98.16843611112658,1.449,82.5,227.7,Adulto Joven,Muy Bajo,Regular,Alto,Límite,22.0,Alto,False
33,Bogotá,5,Técnico,Unión Libre,2,Formal,6.0,6140000,3268000,0,850,0,192300000,30350000,224000000,19,15,33600000.0,190400000.0,85.0,17,9.39,1871500,30.48,2872000,1000500,30.48,1.0099789915966386,16.21693828479829,0.6516364902506964,53.22475570032573,40,0,85.0,0.0,12.28,198.0,42.5,Adulto Joven,Medio,Muy Bueno,Alto,Límite,77.0,Bajo,False
40,Barranquilla,2,Profesional,Soltero,0,Formal,11.5,3664000,2511000,0,850,0,67200000,30170000,72000000,21,16,11520000.0,60480000.0,84.0,18,8.88,561800,15.33,1153000,591200,15.33,1.1111111111111112,53.70238519045924,0.4872506504770165,68.53165938864629,40,0,125.0,0.0,10.992,460.0,42.0,Adulto Joven,Medio-Bajo,Muy Bueno,Alto,Excelente,93.0,Bajo,False
22,Cartagena,2,Técnico,Unión Libre,3,Informal,2.5,3640000,2730000,0,735,0,3400000,13450000,72000000,19,11,7920000.0,64080000.0,89.0,29,11.34,629400,17.29,910000,280600,17.29,0.05305867665418227,21.369558309501112,0.6916483516483517,75.0,-30,0,25.0,0.0,7.28,55.0,146.85,Joven,Medio-Bajo,Bueno,Alto,Excelente,65.0,Bajo,False
22,Medellín,3,Bachiller,Soltero,0,Formal,2.5,2032000,1141000,0,803,0,4000000,5370000,63000000,8,10,6300000.0,56700000.0,90.0,24,9.75,510300,25.11,891000,380700,25.11,0.07054673721340388,10.523221634332746,0.5727272727272728,56.15157480314961,-30,0,50.0,0.0,2.032,55.0,87.3,Joven,Bajo,Muy Bueno,Alto,Aceptable,68.75,Bajo,False
32,Bogotá,2,Profesional,Casado,1,Formal,7.5,3141000,2243100,0,838,0,34200000,13250000,100000000,56,11,11000000.0,89000000.0,89.0,18,9.26,847900,26.99,897900,50000,26.99,0.3842696629213483,15.62684278806463,1.0801273885350318,71.41356255969437,40,0,100.0,0.0,9.423,240.0,55.18,Adulto Joven,Bajo,Muy Bueno,Alto,Aceptable,64.25,Medio,False
27,Medellín,3,Profesional,Soltero,0,Formal,7.0,5357000,3001000,0,850,1,139400000,21330000,122000000,12,20,24400000.0,97600000.0,80.0,29,8.98,789300,14.73,2356000,1566700,14.73,1.4282786885245902,27.02394526795895,0.33501697792869267,56.02016053761434,10,0,95.0,0.0,16.071,189.0,40.0,Joven,Medio,Muy Bueno,Medio,Excelente,88.5,Bajo,False
41,Ibagué,2,Bachiller,Casado,1,Informal,1.5,1404000,862600,0,738,0,29800000,950000,39000000,32,10,3900000.0,34753455.57122707,89.11142454160789,10,11.64,491400,35.0,541400,50000,35.0,0.8574686893775214,1.9332519332519333,1.4,61.43874643874644,40,0,15.0,0.0,1.404,61.5,144.36050775740478,Adulto,Muy Bajo,Bueno,Alto,Límite,39.2,Alto,False
28,Cali,1,Bachiller,Soltero,0,Formal,2.0,2236000,1543000,0,799,0,13900000,2750000,63000000,5,10,6300000.0,56700000.0,90.0,26,10.38,526300,23.54,693000,166700,23.54,0.24514991181657847,5.225156754702641,0.7594516594516595,69.00715563506262,10,0,45.0,0.0,2.236,56.0,90.9,Joven,Bajo,Bueno,Alto,Bueno,63.0,Medio,False
23,Bogotá,6,Técnico,Unión Libre,0,Formal,1.0,8820000,4367000,0,839,0,15400000,60700000,237000000,13,15,35550000.0,201450000.0,85.0,27,9.33,1704900,19.33,4453000,2748100,19.33,0.07644576818069,35.603261188339495,0.3828654839434089,49.5124716553288,-30,0,35.0,0.0,17.64,23.0,51.85,Joven,Medio-Alto,Muy Bueno,Alto,Excelente,79.5,Bajo,False
52,Barranquilla,1,Técnico,Unión Libre,1,Formal,20.5,2125000,1594000,0,822,0,88800000,5630000,46000000,26,23,10580000.0,35420000.0,77.0,10,8.5,439200,20.67,531000,91800,20.67,2.507058159232072,12.818761384335154,0.8271186440677966,75.01176470588236,40,0,125.0,0.0,4.25,1066.0,60.06,Adulto,Bajo,Muy Bueno,Medio,Bueno,82.0,Bajo,False
35,Medellín,4,Técnico,Soltero,3,Informal,6.0,3375000,2266900,0,798,1,163600000,6860000,121000000,16,15,18150000.0,102850000.0,85.0,20,10.95,1058100,31.35,1108100,50000,31.35,1.590666018473505,6.4833191569794915,1.2536729857819906,67.16740740740741,40,0,60.0,0.0,6.75,210.0,86.7,Adulto Joven,Bajo,Bueno,Alto,Límite,47.8,Medio,False
38,Cali,1,Bachiller,Casado,2,Informal,3.0,1279000,781300,1,668,0,20000000,4110000,42000000,16,10,4200000.0,37762039.72327606,89.9096183887525,16,12.18,447700,35.0,497700,50000,35.0,0.5296324072153403,9.18025463480009,1.3990625,61.08678655199375,40,0,30.0,86.46647167633873,1.279,114.0,208.5903146619058,Adulto Joven,Muy Bajo,Regular,Alto,Límite,32.4,Alto,False
23,Cartagena,4,Bachiller,Soltero,1,Informal,1.0,3444000,2178000,0,756,0,6200000,26810000,108000000,27,15,16200000.0,91800000.0,85.0,28,10.75,865600,25.13,1266000,400400,25.13,0.06753812636165578,30.972735674676525,0.6837282780410743,63.2404181184669,-30,0,10.0,0.0,3.444,23.0,122.4,Joven,Bajo,Bueno,Alto,Aceptable,63.8,Medio,False
32,Medellín,3,Técnico,Soltero,1,Formal,6.5,2321000,1607000,0,822,0,37200000,4680000,65000000,11,10,6500000.0,58500000.0,90.0,20,9.7,553000,23.83,714000,161000,23.83,0.6358974358974359,8.462929475587703,0.7745098039215687,69.23739767341664,40,0,90.0,0.0,4.642,208.0,70.2,Adulto Joven,Bajo,Muy Bueno,Alto,Bueno,74.75,Bajo,False
